|        a         |        b         | f |       out        |
| 0000000000000000 | 0000000000000000 | 0 | 0000000000000000 |
| 0000000000000000 | 0000000000000000 | 1 | 0000000000000000 |
| 0000000000000000 | 1111111111111111 | 0 | 0000000000000000 |
| 0000000000000000 | 1111111111111111 | 1 | 1111111111111111 |
| 1111111111111111 | 0000000000000000 | 0 | 0000000000000000 |
| 1111111111111111 | 0000000000000000 | 1 | 1111111111111111 |
| 1111111111111111 | 1111111111111111 | 0 | 1111111111111111 |
| 1111111111111111 | 1111111111111111 | 1 | 1111111111111110 |
| 1001010010101100 | 0101110101000010 | 0 | 0001010000000000 |
| 1001010010101100 | 0101110101000010 | 1 | 1111000111101110 |
