|   instruction    | c | loadMfromA | zx | nx | zy | ny | func | no | destA | destD | destM | JLT | JEQ | JGT |
| 0000000000000000 | 0 |      0     |  0 |  0 |  0 |  0 |   0  |  0 |   0   |   0   |   0   |  0  |  0  |  0  |
| 0000101001110111 | 0 |      0     |  0 |  0 |  0 |  0 |   0  |  0 |   0   |   0   |   0   |  0  |  0  |  0  |
| 1110000000000000 | 1 |      0     |  0 |  0 |  0 |  0 |   0  |  0 |   0   |   0   |   0   |  0  |  0  |  0  |
| 1000101010001000 | 1 |      0     |  1 |  0 |  1 |  0 |   1  |  0 |   0   |   0   |   1   |  0  |  0  |  0  |
| 1110111111010000 | 1 |      0     |  1 |  1 |  1 |  1 |   1  |  1 |   0   |   1   |   0   |  0  |  0  |  0  |
| 1110111010011000 | 1 |      0     |  1 |  1 |  1 |  0 |   1  |  0 |   0   |   1   |   1   |  0  |  0  |  0  |
| 1110001100100000 | 1 |      0     |  0 |  0 |  1 |  1 |   0  |  0 |   1   |   0   |   0   |  0  |  0  |  0  |
| 1110110000101000 | 1 |      0     |  1 |  1 |  0 |  0 |   0  |  0 |   1   |   0   |   1   |  0  |  0  |  0  |
| 1111110000110000 | 1 |      1     |  1 |  1 |  0 |  0 |   0  |  0 |   1   |   1   |   0   |  0  |  0  |  0  |
| 1110001101111000 | 1 |      0     |  0 |  0 |  1 |  1 |   0  |  1 |   1   |   1   |   1   |  0  |  0  |  0  |
| 1110110001000000 | 1 |      0     |  1 |  1 |  0 |  0 |   0  |  1 |   0   |   0   |   0   |  0  |  0  |  0  |
| 1111110001000001 | 1 |      1     |  1 |  1 |  0 |  0 |   0  |  1 |   0   |   0   |   0   |  0  |  0  |  1  |
| 1110001111000010 | 1 |      0     |  0 |  0 |  1 |  1 |   1  |  1 |   0   |   0   |   0   |  0  |  1  |  0  |
| 1110110011000011 | 1 |      0     |  1 |  1 |  0 |  0 |   1  |  1 |   0   |   0   |   0   |  0  |  1  |  1  |
| 1111110011000100 | 1 |      1     |  1 |  1 |  0 |  0 |   1  |  1 |   0   |   0   |   0   |  1  |  0  |  0  |
| 1110011111000101 | 1 |      0     |  0 |  1 |  1 |  1 |   1  |  1 |   0   |   0   |   0   |  1  |  0  |  1  |
| 1110110111000110 | 1 |      0     |  1 |  1 |  0 |  1 |   1  |  1 |   0   |   0   |   0   |  1  |  1  |  0  |
| 1111110111000111 | 1 |      1     |  1 |  1 |  0 |  1 |   1  |  1 |   0   |   0   |   0   |  1  |  1  |  1  |
| 1110001110001001 | 1 |      0     |  0 |  0 |  1 |  1 |   1  |  0 |   0   |   0   |   1   |  0  |  0  |  1  |
| 1110110010010010 | 1 |      0     |  1 |  1 |  0 |  0 |   1  |  0 |   0   |   1   |   0   |  0  |  1  |  0  |
| 1111110010011011 | 1 |      1     |  1 |  1 |  0 |  0 |   1  |  0 |   0   |   1   |   1   |  0  |  1  |  1  |
| 1110000010100100 | 1 |      0     |  0 |  0 |  0 |  0 |   1  |  0 |   1   |   0   |   0   |  1  |  0  |  0  |
| 1111000010101101 | 1 |      1     |  0 |  0 |  0 |  0 |   1  |  0 |   1   |   0   |   1   |  1  |  0  |  1  |
| 1110010011110110 | 1 |      0     |  0 |  1 |  0 |  0 |   1  |  1 |   1   |   1   |   0   |  1  |  1  |  0  |
| 1111010011111111 | 1 |      1     |  0 |  1 |  0 |  0 |   1  |  1 |   1   |   1   |   1   |  1  |  1  |  1  |
| 1110000111000000 | 1 |      0     |  0 |  0 |  0 |  1 |   1  |  1 |   0   |   0   |   0   |  0  |  0  |  0  |
| 1111000111000000 | 1 |      1     |  0 |  0 |  0 |  1 |   1  |  1 |   0   |   0   |   0   |  0  |  0  |  0  |
| 1110000000000000 | 1 |      0     |  0 |  0 |  0 |  0 |   0  |  0 |   0   |   0   |   0   |  0  |  0  |  0  |
| 1111000000000000 | 1 |      1     |  0 |  0 |  0 |  0 |   0  |  0 |   0   |   0   |   0   |  0  |  0  |  0  |
| 1110010101000000 | 1 |      0     |  0 |  1 |  0 |  1 |   0  |  1 |   0   |   0   |   0   |  0  |  0  |  0  |
| 1111010101000000 | 1 |      1     |  0 |  1 |  0 |  1 |   0  |  1 |   0   |   0   |   0   |  0  |  0  |  0  |
